processed_filename,FARFAR_filename,Library_filename,filename,score
ens-9905.pdb,S_066_000107.pdb,ens-9905.pdb,S_066_000107.pdb,-6.792
ens-2991.pdb,S_393_000067.pdb,ens-2991.pdb,S_393_000067.pdb,-16.757
ens-760.pdb,S_249_000065.pdb,ens-760.pdb,S_249_000065.pdb,-19.412
ens-5129.pdb,S_056_000016.pdb,ens-5129.pdb,S_056_000016.pdb,-21.84
ens-662.pdb,S_031_000016.pdb,ens-662.pdb,S_031_000016.pdb,-13.887
ens-4980.pdb,S_303_000034.pdb,ens-4980.pdb,S_303_000034.pdb,-2.803
ens-4611.pdb,S_353_000075.pdb,ens-4611.pdb,S_353_000075.pdb,-21.567
ens-2114.pdb,S_349_000093.pdb,ens-2114.pdb,S_349_000093.pdb,-24.916
ens-9705.pdb,S_358_000006.pdb,ens-9705.pdb,S_358_000006.pdb,-18.807
ens-2342.pdb,S_163_000109.pdb,ens-2342.pdb,S_163_000109.pdb,-25.703
ens-5007.pdb,S_067_000079.pdb,ens-5007.pdb,S_067_000079.pdb,-20.984
ens-6534.pdb,S_118_000123.pdb,ens-6534.pdb,S_118_000123.pdb,-0.928
ens-8023.pdb,S_353_000122.pdb,ens-8023.pdb,S_353_000122.pdb,-20.191
ens-6700.pdb,S_321_000010.pdb,ens-6700.pdb,S_321_000010.pdb,-16.07
ens-6581.pdb,S_004_000091.pdb,ens-6581.pdb,S_004_000091.pdb,-19.005
ens-22.pdb,S_173_000042.pdb,ens-22.pdb,S_173_000042.pdb,-26.588
ens-4488.pdb,S_345_000110.pdb,ens-4488.pdb,S_345_000110.pdb,-0.16
ens-6194.pdb,S_072_000020.pdb,ens-6194.pdb,S_072_000020.pdb,-26.36
ens-8218.pdb,S_281_000027.pdb,ens-8218.pdb,S_281_000027.pdb,-21.318
ens-3260.pdb,S_376_000036.pdb,ens-3260.pdb,S_376_000036.pdb,-24.907
ens-9442.pdb,S_353_000106.pdb,ens-9442.pdb,S_353_000106.pdb,-24.14
ens-415.pdb,S_034_000115.pdb,ens-415.pdb,S_034_000115.pdb,-1.309
ens-872.pdb,S_083_000041.pdb,ens-872.pdb,S_083_000041.pdb,-19.439
ens-50.pdb,S_139_000096.pdb,ens-50.pdb,S_139_000096.pdb,-23.233
ens-1653.pdb,S_030_000121.pdb,ens-1653.pdb,S_030_000121.pdb,-31.51
ens-8437.pdb,S_349_000053.pdb,ens-8437.pdb,S_349_000053.pdb,-1.676
ens-790.pdb,S_359_000058.pdb,ens-790.pdb,S_359_000058.pdb,-26.07
ens-7862.pdb,S_046_000110.pdb,ens-7862.pdb,S_046_000110.pdb,-22.211
ens-6203.pdb,S_334_000092.pdb,ens-6203.pdb,S_334_000092.pdb,-22.664
ens-9840.pdb,S_082_000084.pdb,ens-9840.pdb,S_082_000084.pdb,-23.29
ens-8655.pdb,S_245_000115.pdb,ens-8655.pdb,S_245_000115.pdb,-15.196
ens-8675.pdb,S_331_000028.pdb,ens-8675.pdb,S_331_000028.pdb,-17.452
ens-1375.pdb,S_105_000082.pdb,ens-1375.pdb,S_105_000082.pdb,-18.698
ens-5809.pdb,S_149_000082.pdb,ens-5809.pdb,S_149_000082.pdb,-17.441
ens-6092.pdb,S_233_000087.pdb,ens-6092.pdb,S_233_000087.pdb,-12.798
ens-4106.pdb,S_322_000080.pdb,ens-4106.pdb,S_322_000080.pdb,-23.371
ens-3614.pdb,S_388_000110.pdb,ens-3614.pdb,S_388_000110.pdb,-17.812
ens-4253.pdb,S_247_000106.pdb,ens-4253.pdb,S_247_000106.pdb,-31.873
ens-4709.pdb,S_279_000030.pdb,ens-4709.pdb,S_279_000030.pdb,-17.32
ens-5458.pdb,S_107_000107.pdb,ens-5458.pdb,S_107_000107.pdb,-10.105
ens-4600.pdb,S_115_000116.pdb,ens-4600.pdb,S_115_000116.pdb,-30.261
ens-3323.pdb,S_038_000063.pdb,ens-3323.pdb,S_038_000063.pdb,-15.269
ens-9720.pdb,S_017_000096.pdb,ens-9720.pdb,S_017_000096.pdb,-20.518
ens-6723.pdb,S_133_000074.pdb,ens-6723.pdb,S_133_000074.pdb,-15.051
