Residue,BondVector,J-1H,J-1H Score,J-13C,J-13C Score,J+D-1H,J+D-1H Score,J+D-13C,J+D-13C Score,1H-RDC,1H-RDC-score,13C-RDC_init,13C-RDC-score,13C-RDC
G28,C8H8,212.768,5,213.964,5,248.63,5,255.662,5,35.862,5,41.698,5,41.698
G26,C8H8,213.389,5,214.39,5,249.632,5,254.874,5,36.243,5,40.484,5,40.484
G36,C8H8,214.564,5,214.449,5,248.981,5,250.512,5,34.417,5,36.063,5,36.063
G34,C8H8,211.901,5,213.504,5,242.925,5,243.464,5,31.024,5,29.96,5,29.96
G33,C8H8,213.124,5,214.057,5,238.038,5,238.42,5,24.914,5,24.363,5,24.363
G32,C8H8,214.303,5,215.258,5,217.364,5,218.299,4,3.061,5,3.041,4.5,3.041
C29,C6H6,178.367,4,182.421,4,206.608,3,221.961,2.5,28.241,3.5,39.54,2.75,
C30,C6H6,179.155,4,178.748,4,203.43,3,212.895,3,24.275,3.5,34.147,3,34.147
G32,C1'H1',164.192,5,165.053,5,168.593,5,168.842,5,4.401,5,3.789,5,3.789
G33,C1'H1',167.015,5,168.23,5,168.807,5,168.829,5,1.792,5,0.599,5,0.599
G34,C1'H1',169.759,5,169.288,5,181.932,5,183.324,4.5,12.173,5,14.036,4.75,14.036
C30,C1'H1',172.104,5,171.576,5,181.953,5,181.534,5,9.849,5,9.958,5,9.958
G36,C1'H1',175.179,4.5,175.995,4,123.057,4,,,-52.122,4.25,,,
C37,C1'H1',179.743,3,179.759,3,139.278,2,,,-40.465,2.5,,,
C29,C1'H1',178.435,5,178.501,3,161.343,5,159.889,3,-17.092,5,-18.612,4,-18.612
G28,N1H1,-86.174,5,-86.802,5,-104.308,4.5,-106.391,5,-18.134,4.75,-19.589,4.75,-19.589
G36,N1H1,-88.04,5,-88.581,5,-105.17,5,-106.449,5,-17.13,5,-17.868,5,-17.868
G26,N1H1,-86.902,5,-87.67,5,-104.588,5,-104.192,5,-17.686,5,-16.522,5,-16.522
C39,C5H5,169.29,5,174.64,3.5,200.162,2,213.753,1.5,30.872,3.5,39.113,1.75,
C30,C5H5,171.398,5,174.772,3.5,203.582,4.5,213.941,4.5,32.184,4.75,39.169,4.5,
C37,C5H5,170.672,5,173.823,3.5,190.04,3.5,200.2,3,19.368,4.25,26.377,3.25,
C29,C5H5,171.841,5,174.836,3.5,200.679,3.5,211.534,3,28.838,4.25,36.698,3.25,
